CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,LATITUDE,LONGITUDE
JE492477,12/29/2021 22:32,040XX E 134TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,433,10,08B,41.65143133,-87.52725823
JF460063,11/3/2022 0:40,034XX W LAKE ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,N,N,1123,28,01A,41.88471307,-87.71245238
JE490191,12/27/2021 13:30,010XX W DIVERSEY PKWY,460,BATTERY,SIMPLE,CTA BUS,N,N,1933,44,08B,41.93263236,-87.6541895
JE490421,12/27/2021 18:08,017XX W HOWARD ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,Y,N,2422,49,6,42.01939924,-87.67504949
JE490281,12/27/2021 14:00,062XX N HOYNE AVE,810,THEFT,OVER $500,APARTMENT,N,N,2413,50,6,41.99504551,-87.68242982
JE491379,12/27/2021 8:00,025XX S WENTWORTH AVE,820,THEFT,$500 AND UNDER,STREET,N,N,914,11,6,41.84609651,-87.6319836
JE490490,12/27/2021 13:40,014XX W 71ST ST,820,THEFT,$500 AND UNDER,RESIDENCE,N,N,734,17,6,41.76495324,-87.6608249
JE490475,12/27/2021 19:00,029XX W 65TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,N,Y,823,17,14,41.77540872,-87.69739882
JE490157,12/27/2021 13:16,025XX S DAMEN AVE,033A,ROBBERY,ATTEMPT ARMED - HANDGUN,OTHER COMMERCIAL TRANSPORTATION,N,N,1034,25,3,41.84569086,-87.67566981
JE490695,12/27/2021 22:00,0000X W MAPLE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1824,2,14,41.90187896,-87.62887194
JE490774,12/27/2021 22:00,051XX S ELLIS AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,233,5,7,41.80165955,-87.60135244
JE492677,12/27/2021 19:30,013XX N PAULINA ST,820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,N,N,1433,1,6,41.906276,-87.67001188
JE490087,12/27/2021 12:18,021XX E 70TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,331,5,08B,41.76800892,-87.57342503
JE490603,12/27/2021 23:18,032XX W FULTON BLVD,460,BATTERY,SIMPLE,RESIDENCE,N,N,1123,28,08B,41.88640117,-87.7074672
JE490017,12/27/2021 11:30,030XX N HALSTED ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1933,44,6,41.93743245,-87.64918049
